key,source_uri,size_bytes,last_modified
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_537.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_537.mp4,574114806,2026-06-13 17:53:17
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_538.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_538.mp4,581565124,2026-06-13 17:53:17
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_539.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_539.mp4,637015144,2026-06-13 17:53:18
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_540.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_540.mp4,650332531,2026-06-13 17:53:18
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_541.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_541.mp4,563035574,2026-06-13 17:53:19
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_542.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_542.mp4,542610532,2026-06-13 17:53:19
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_543.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_543.mp4,440225665,2026-06-13 17:53:19
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_544.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_544.mp4,602910643,2026-06-13 17:53:19
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_545.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_545.mp4,627678747,2026-06-13 17:53:19
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_546.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_546.mp4,346825235,2026-06-13 17:53:20
